znamka,model,teren,cena,ocena,stevilo ocen
Nike,Nike Air Zoom Winflo 4,Road,110,4.7,97
Altra,Altra Escalante 1.5,Road,160,4.7,251
Merrell,Merrell All Out Crush Tough Mudder 2 BOA,Trail,150,4.8,66
Skechers,Skechers GOrun Ride 7,Road,110,4.6,147
Adidas,Adidas Solar Glide,Road,170,4.5,157
Xero Shoes,Xero Shoes Prio,Trail,110,4.6,886
Reebok,Reebok Zigwild TR 5.0,Road,140,4.8,70
Asics,Asics Gel Kayano 25,Road,190,4.6,1030
Salomon,Salomon Sonic RA Max,Road,160,4.6,72
Adidas,Adidas Ultraboost Clima,Road,270,4.7,731
Mizuno,Mizuno Wave Rider 22,Road,150,4.7,212
Adidas,Adidas Ultra Boost Uncaged,Road,220,4.8,821
Brooks,Brooks Adrenaline GTS 19,Road,160,4.6,209
Hoka One One,Hoka One One Clifton 1,Road,160,4.6,202
Brooks,Brooks Ghost 11,Road,150,4.5,2162
The North Face,The North Face Endurus TR,Trail,160,4.8,60
Hoka One One,Hoka One One Torrent,Trail,150,4.4,47
Nike,Nike Air Zoom Odyssey,Road,180,4.7,209
Under Armour,Under Armour Dash RN 2,Road,80,4.5,465
Nike,Nike Revolution 4,Road,80,4.6,2225
Altra,Altra Escalante,Road,160,4.6,484
Adidas,Adidas Terrex Skychaser GTX,Trail,240,4.6,385
Skechers,Skechers GOrun 600,Road,80,4.7,163
Under Armour,Under Armour Charged Escape 2,Road,110,4.7,128
Puma,Puma Carson 2 X Knit,Road,80,4.7,58
Brooks,Brooks Revel,Road,120,4.5,2111
Asics,Asics Gel Fortitude 7,Road,150,4.5,239
Adidas,Adidas Adistar Boost ESM,Road,210,4.6,318
Brooks,Brooks Ghost 10,Road,150,4.6,3099
Nike,Nike LunarEpic Flyknit Shield,Road,240,4.6,61
On,On Cloudflow,Road,170,4.7,202
Brooks,Brooks Ricochet LE,Road,150,4.7,55
Nike,Nike Air Zoom Pegasus 32,Road,140,4.6,806
The North Face,The North Face Ultra 109 GTX,Trail,150,4.5,843
Asics,Asics GT 1000 4,Road,120,4.6,1935
Nike,Nike Air Zoom Pegasus 35,Road,150,4.4,1180
Nike,Nike Free RN 2018,Road,120,4.5,1037
Nike,Nike Zoom Fly SP,Road,180,4.3,807
New Balance,New Balance 1400 v6,Road,120,4.4,95
New Balance,New Balance Fresh Foam Beacon,Road,150,4.5,105
Topo Athletic,Topo Athletic MT-2,Trail,120,4.5,53
Asics,Asics Dynamis,Road,190,4.5,48
Saucony,Saucony Ride 7,Road,150,4.5,954
Altra,Altra Lone Peak 4.0,Trail,150,4.5,218
Saucony,Saucony Fastwitch 8,Road,110,4.6,65
Puma,Puma Ignite Limitless Weave,Road,150,4.7,58
Salomon,Salomon Sonic RA Pro,Road,160,4.7,51
Adidas,Adidas Supernova Sequence Boost 9,Road,160,4.5,360
Adidas,Adidas Pure Boost Go,Road,150,4.5,444
Asics,Asics Gel Venture 6,Trail,90,4.5,2495
Adidas,Adidas Falcon Elite 5,Road,110,4.6,87
Puma,Puma Carson 2 Knit,Road,80,4.7,146
Reebok,Reebok Print Run 3.0,Road,100,4.7,65
Under Armour,Under Armour HOVR Sonic,Road,120,4.5,296
Mizuno,Mizuno Wave Rider 21,Road,150,4.6,692
Saucony,Saucony Breakthru 2,Road,120,4.7,86
Adidas,Adidas Adizero Boston Boost 6,Road,150,4.6,323
Adidas,Adidas Adizero Sub 2,Road,220,4.6,61
Vivobarefoot ,Vivobarefoot Primus Lux,Road,210,4.3,62
Saucony,Saucony Excursion TR 12,Trail,90,4.7,239
Nike,Nike Free RN Flyknit 2018,Road,150,4.5,510
Nike,Nike Flex Fury 2,Road,90,4.6,430
Adidas,Adidas Ultraboost Uncaged Parley,Road,240,4.6,113
